Random melody 0,69,558,69,569,69,552,62,530,65,584,60,595,69,570,69,538
Random melody 1,60,553,62,569,60,567,72,548,64,549,67,578,60,593,65,590
Random melody 2,67,546,67,576,69,542,62,546,67,521,72,582,62,511,67,519
Random melody 3,67,542,64,583,72,541,65,526,64,521,71,582,60,523,69,562
Random melody 4,62,574,67,504,67,514,69,509,62,549,64,513,72,591,65,536
Random melody 5,60,577,67,586,64,585,67,510,64,571,72,551,69,512,65,521
Random melody 6,65,529,64,561,62,563,72,584,67,561,64,544,72,531,71,540
Random melody 7,67,542,67,551,65,594,65,531,64,524,71,520,71,570,62,596
Random melody 8,67,523,62,588,67,529,65,592,71,534,64,533,64,587,60,504
Random melody 9,60,579,62,527,65,577,69,544,64,586,64,542,69,514,60,532
Random melody 10,67,582,69,554,64,544,69,536,67,521,72,528,71,532,67,537
Random melody 11,65,568,64,515,71,547,60,509,67,528,65,515,64,523,71,596
Random melody 12,69,506,71,582,71,550,65,510,72,542,64,581,71,559,72,554
Random melody 13,69,537,71,501,60,520,71,553,67,573,65,504,71,578,67,558
Random melody 14,69,533,69,522,65,585,60,533,71,587,72,557,65,504,62,519
Random melody 15,64,586,64,540,62,545,65,560,64,504,71,516,64,562,69,585
Random melody 16,69,561,69,560,72,599,71,522,69,522,71,600,65,570,60,586
Random melody 17,72,525,69,570,62,543,65,597,67,504,69,591,64,549,65,529
Random melody 18,65,588,72,525,72,582,72,522,64,535,64,562,71,591,69,562
Random melody 19,69,574,62,525,60,525,72,539,72,550,62,557,69,502,71,547
Random melody 20,64,536,62,521,64,536,67,536,62,526,72,509,71,595,72,591
Random melody 21,67,539,62,503,69,511,71,588,72,500,72,577,62,568,65,539
Random melody 22,69,571,67,528,60,554,69,549,71,522,71,561,72,503,72,595
Random melody 23,69,560,65,567,67,584,69,525,62,558,72,574,62,597,62,572
Random melody 24,67,574,71,500,62,552,65,599,62,565,60,576,62,509,64,539
Random melody 25,65,562,69,519,60,599,71,574,67,561,64,527,65,506,65,584
Random melody 26,67,587,64,511,65,557,69,535,72,547,69,541,65,554,65,547
Random melody 27,69,550,64,537,65,597,65,509,71,523,72,527,69,572,60,524
Random melody 28,69,530,60,513,64,519,60,535,62,510,72,578,62,565,69,548
Random melody 29,65,562,62,539,65,507,72,560,65,555,67,556,67,572,60,531
Random melody 30,62,522,72,567,67,549,62,511,65,558,62,500,67,543,60,559
Random melody 31,72,537,65,576,71,512,65,590,72,595,67,544,67,504,60,570
Random melody 32,64,543,64,529,69,531,62,509,72,544,71,580,62,574,71,544
Random melody 33,71,582,65,557,71,583,71,585,72,565,67,503,72,577,71,551
Random melody 34,65,538,69,573,72,586,65,562,65,520,71,562,65,529,64,500
Random melody 35,72,598,67,565,72,568,71,552,69,525,64,536,71,523,67,506
Random melody 36,69,581,65,528,72,568,62,513,69,565,69,596,62,543,60,567
Random melody 37,64,595,62,542,64,521,62,534,71,524,65,523,71,514,72,523
Random melody 38,72,553,67,525,69,590,72,500,62,580,71,560,67,595,60,541
Random melody 39,62,522,62,581,60,552,69,544,72,579,67,570,71,577,64,580
