Danny Boy,64,400,65,400,67,400,69,1200,67,400,69,400,74,400,72,400,69,400,67,400,65,400,62,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fur Elise,76,450,75,450,76,450,75,450,76,450,71,450,74,450,72,450,69,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ode to Joy,64,500,64,500,65,500,67,500,67,500,65,500,64,500,62,500,60,500,60,500,62,500,64,500,64,750,62,250,62,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring (Four Seasons),60,300,64,300,64,300,64,300,62,150,60,150,67,900,67,150,65,150,64,300,64,300,64,300,62,150,60,150,67,900,67,150,65,150,64,300,65,150,67,150,65,300,64,300,62,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish March,71,120,69,120,68,120,69,120,72,480,74,120,72,120,71,120,72,120,76,480,77,120,76,120,75,120,76,120,83,120,81,120,80,120,81,120,83,120,81,120,80,120,81,120,84,480,81,240,84,220,79,10,81,10,83,240,81,240,79,240,81,220,79,10,81,10,83,240,81,240,79,240,81,220,79,10,81,10,83,240,81,240,79,240,78,240,76,480,,,,
Let It Be,67,150,67,150,67,300,67,150,69,450,64,300,67,300,67,300,72,150,74,450,76,150,76,300,76,450,74,300,74,300,72,300,72,600,76,150,76,450,77,300,76,150,76,450,74,600,76,150,74,150,74,300,72,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Little Light of Mine,62,400,62,200,62,200,62,400,64,400,67,1600,71,400,71,200,71,200,71,400,69,400,67,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What A Wonderful World,60,400,64,400,65,1200,69,400,72,2000,74,400,74,400,74,400,72,2000,70,400,70,400,70,400,69,2000,67,400,67,400,67,400,65,1066,65,266,65,266,65,1066,65,266,65,266,65,2400,65,400,65,400,64,533,65,533,67,533,69,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme from Jurassic Park,60,1500,60,250,59,250,60,1500,60,250,59,250,60,750,62,250,62,750,65,250,65,1500,64,250,60,250,62,750,59,250,55,500,64,250,60,250,62,1500,67,250,60,250,65,750,64,250,64,750,62,250,62,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty and the Beast,55,300,58,300,62,300,63,300,56,3600,55,300,58,300,62,300,63,300,65,1200,67,300,65,300,67,300,70,300,63,1200,63,300,62,300,63,300,67,300,56,1200,67,300,68,300,65,300,67,300,63,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
